epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36564,2.42378,4.56487,1.56508,0.00147,0.25,0.00165,0.00016,3.38159,4.82874,1.40817,0,0,0
2,15.7929,2.44964,4.54143,1.55753,0,0,0,0,3.37586,4.81795,1.39899,1.28753e-05,1.28753e-05,1.28753e-05
3,22.6143,2.30862,4.42231,1.39002,0,0,0,0,3.30515,4.81467,1.36766,2.29212e-05,2.29212e-05,2.29212e-05
4,29.264,2.1298,4.49106,1.32772,0.00117,0.25,0.00089,0.00027,3.24805,4.79501,1.3425,3.01376e-05,3.01376e-05,3.01376e-05
5,35.8427,2.11414,4.43967,1.2943,0.00226,0.5,0.00233,0.00055,3.13409,4.71788,1.29295,3.45246e-05,3.45246e-05,3.45246e-05
6,42.3195,2.24004,4.42063,1.37029,0.00222,0.5,0.00234,0.00125,2.98311,4.62098,1.23039,3.60822e-05,3.60822e-05,3.60822e-05
7,48.4797,1.90366,4.17222,1.22725,0.0022,0.5,0.00248,0.0014,2.71343,4.45407,1.18587,3.48104e-05,3.48104e-05,3.48104e-05
8,54.762,2.05657,4.26508,1.24114,0.0022,0.5,0.00427,0.00168,2.68884,4.45024,1.16617,3.07092e-05,3.07092e-05,3.07092e-05
9,61.2498,1.93007,3.99947,1.23593,0.00219,0.5,0.03083,0.00436,2.62507,4.41573,1.14727,2.37786e-05,2.37786e-05,2.37786e-05
10,68.4661,1.78016,4.15482,1.10402,0.00216,0.5,0.04592,0.00991,2.58756,4.39424,1.13861,1.40185e-05,1.40185e-05,1.40185e-05
